aaa1@aaa.com,foe
aaa2@aaa.com,foe
aaa3@aaa.com,foe
aaa4@aaa.com,foe
aaa5@aaa.com,foe
aaa6@aaa.com,foe
aaa7@aaa.com,foe
aaa8@aaa.com,foe
aaa9@aaa.com,foe
aaa10@aaa.com,foe
aaa11@aaa.com,foe
aaa12@aaa.com,foe
aaa13@aaa.com,foe
aaa14@aaa.com,foe
aaa15@aaa.com,foe
aaa16@aaa.com,foe
aaa17@aaa.com,foe
aaa18@aaa.com,foe
aaa19@aaa.com,foe
aaa20@aaa.com,foe
bbb1@bbb.com,soc
bbb2@bbb.com,soc
bbb3@bbb.com,soc
bbb4@bbb.com,soc
bbb5@bbb.com,soc
bbb6@bbb.com,soc
bbb7@bbb.com,soc
bbb8@bbb.com,soc
bbb9@bbb.com,soc
bbb10@bbb.com,soc
bbb11@bbb.com,soc
bbb12@bbb.com,soc
bbb13@bbb.com,soc
ccc@ccc.com,fass
ddd@ddd.com,biz
